"pair_key","doc_id","sentence_id","start","end","text","relation_type","LSF_entity","LSF_entity_start","LSF_entity_end","disease_entity","disease_entity_start","disease_entity_end","Data_Set","section","word_count","context_text","masked_context_text","context_word_count"
"22392887 5 T11_T23","22392887",5,1075,1445,"For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09). ","no_relation","alcohol",1271,1277,"cancers",1357,1363,"train-set","",61,"For leukaemia (80 deaths), the estimate of ERR/Sv was - 1.93 (95% confidence interval (CI) = - 6.12, 8.57).  For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power. ","For leukaemia (80 deaths), the estimate of ERR/Sv was - 1.93 (95% confidence interval (CI) = - 6.12, 8.57).  For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of[FACTOR]l-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all[OUTCOME]s excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power.",110
"22392887 5 T12_T24","22392887",5,1075,1445,"For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09). ","statistical_association","alcohol",1389,1395,"cancers",1405,1411,"train-set","",61,"For leukaemia (80 deaths), the estimate of ERR/Sv was - 1.93 (95% confidence interval (CI) = - 6.12, 8.57).  For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power. ","For leukaemia (80 deaths), the estimate of ERR/Sv was - 1.93 (95% confidence interval (CI) = - 6.12, 8.57).  For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and[FACTOR]l-related[OUTCOME]s was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power.",110
"22392887 5 T22_T24","22392887",5,1075,1445,"For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09). ","no_relation","alcohol",1389,1395,"leukaemia",1375,1383,"dev-set","",61,"For leukaemia (80 deaths), the estimate of ERR/Sv was - 1.93 (95% confidence interval (CI) = - 6.12, 8.57).  For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power. ","For leukaemia (80 deaths), the estimate of ERR/Sv was - 1.93 (95% confidence interval (CI) = - 6.12, 8.57).  For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding[OUTCOME]a and[FACTOR]l-related cancers was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power.",110
"22392887 6 T17_T26","22392887",6,1446,1674,"In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power. ","statistical_association","lifestyle factors",1486,1502,"cancer",1515,1520,"train-set","",32,"For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important lifestyle factors related to cancer risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power.  Pooled analysis or meta-analysis of nuclear workers for solid cancers needs to take this point into account. ","For all cancers excluding leukaemia (2636 deaths), while the ERR/Sv was estimated to be 1.26 (95%CI = - 0.27, 3.00), confounding by alcohol consumption was suspected since the ERR/Sv  estimate of alcohol-related cancers was 4.64 (95%CI = 1.13, 8.91) and the ERR/Sv  estimate of all cancers excluding leukaemia and alcohol-related cancers was 0.20 (95%CI = - 1.42, 2.09).  In conclusion, confounding by important[FACTOR]s related to[OUTCOME]r risk may have a substantial effect on risk estimates, especially when conducting studies of low cumulative dose and, accordingly, low statistical power.  Pooled analysis or meta-analysis of nuclear workers for solid cancers needs to take this point into account.",111
"22562221 1 T1_T20","22562221",1,1,62,"Resistance training and the risk of colon and rectal cancers. ","no_relation","Resistance training",1,19,"colon",37,41,"train-set","title",10," Resistance training and the risk of colon and rectal cancers.  PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity. ","[FACTOR]g and the risk of[OUTCOME]n and rectal cancers.  PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity.",32
"22562221 2 T18_T3","22562221",2,64,215,"PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity. ","negative_statistical_association","physical activity",116,132,"colon cancer",142,153,"train-set","PURPOSE:",22," PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity.  We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers. ","PURPOSE: Although there is convincing evidence that[FACTOR]y reduces[OUTCOME]r risk, research in this area has focused on aerobic activity.  We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers.",43
"22562221 2 T23_T3","22562221",2,64,215,"PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity. ","negative_statistical_association","aerobic activity",198,213,"colon cancer",142,153,"train-set","PURPOSE:",22," PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity.  We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers. ","PURPOSE: Although there is convincing evidence that physical activity reduces[OUTCOME]r risk, research in this area has focused on[FACTOR]y.  We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers.",43
"22562221 3 T21_T4","22562221",3,216,350,"We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers. ","no_relation","resistance training",273,291,"colon",325,329,"train-set","PURPOSE:",21,"PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity.  We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers.  METHODS: Data were collected on various colorectal cancer risk factors, including recreational physical activity performed during three age periods, from 870 cases and 996 controls in Western Australia in 2005-2007. ","PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity.  We conducted a case-control study to investigate whether[FACTOR]g was associated with the risk of[OUTCOME]n and rectal cancers.  METHODS: Data were collected on various colorectal cancer risk factors, including recreational physical activity performed during three age periods, from 870 cases and 996 controls in Western Australia in 2005-2007.",74
"22578889 1 T1_T2","22578889",1,1,104,"Sleep duration is associated with dyslipidemia in patients with bipolar disorder in clinical remission. ","statistical_association","Sleep duration",1,14,"dyslipidemia",35,46,"train-set","title",14," Sleep duration is associated with dyslipidemia in patients with bipolar disorder in clinical remission.  BACKGROUND: The pathways to increased cardiovascular risk in bipolar disorder include health behaviors, psychosocial stress and long-term medication exposure. ","[FACTOR]n is associated with[OUTCOME]a in patients with bipolar disorder in clinical remission.  BACKGROUND: The pathways to increased cardiovascular risk in bipolar disorder include health behaviors, psychosocial stress and long-term medication exposure.",34
"22578889 1 T1_T3","22578889",1,1,104,"Sleep duration is associated with dyslipidemia in patients with bipolar disorder in clinical remission. ","no_relation","Sleep duration",1,14,"bipolar disorder",65,80,"train-set","title",14," Sleep duration is associated with dyslipidemia in patients with bipolar disorder in clinical remission.  BACKGROUND: The pathways to increased cardiovascular risk in bipolar disorder include health behaviors, psychosocial stress and long-term medication exposure. ","[FACTOR]n is associated with dyslipidemia in patients with[OUTCOME]r in clinical remission.  BACKGROUND: The pathways to increased cardiovascular risk in bipolar disorder include health behaviors, psychosocial stress and long-term medication exposure.",34
"22578889 4 T27_T6","22578889",4,499,677,"Our hypothesis is that disturbances in the sleep-wake cycle are an important and under-recognized pathway through which affective disorders lead to increased cardiovascular risk. ","no_relation","disturbances in the sleep-wake cycle",522,557,"cardiovascular",657,670,"train-set","BACKGROUND:",26,"However, the evidence that the association between cardiovascular risk factors and bipolar disorder remains significant after controlling for these co-factors suggests that additional important risk factors have yet to be identified.  Our hypothesis is that disturbances in the sleep-wake cycle are an important and under-recognized pathway through which affective disorders lead to increased cardiovascular risk.  METHODS: In patients with bipolar disorder type 1 in clinical remission, we: 1) explored whether sleep disturbance predicted the endorsement of NCEP ATP-III criteria for dyslipidemia, independent of other lifestyle factors and 2) tested the association between low HDL (NCEP-ATP III) and sleep duration measured with actigraphy over an eight-day period. ","However, the evidence that the association between cardiovascular risk factors and bipolar disorder remains significant after controlling for these co-factors suggests that additional important risk factors have yet to be identified.  Our hypothesis is that[FACTOR]e are an important and under-recognized pathway through which affective disorders lead to increased[OUTCOME]r risk.  METHODS: In patients with bipolar disorder type 1 in clinical remission, we: 1) explored whether sleep disturbance predicted the endorsement of NCEP ATP-III criteria for dyslipidemia, independent of other lifestyle factors and 2) tested the association between low HDL (NCEP-ATP III) and sleep duration measured with actigraphy over an eight-day period.",112
"22578889 9 T20_T24","22578889",9,1462,1593,"CONCLUSIONS: Sleep characteristics of patients with bipolar disorder in clinical remission are associated with cardiovascular risk. ","statistical_association","Sleep",1475,1479,"cardiovascular",1573,1586,"train-set","CONCLUSIONS:",16,"LIMITATIONS: Since sleep patterns in patients with bipolar disorder are variable and irregular, it is possible that other sleep characteristics, not present during the span of our study, or the variability itself may be what drives the increased cardiovascular risk.  CONCLUSIONS: Sleep characteristics of patients with bipolar disorder in clinical remission are associated with cardiovascular risk.  More specifically, sleep duration was associated with low HDL. ","LIMITATIONS: Since sleep patterns in patients with bipolar disorder are variable and irregular, it is possible that other sleep characteristics, not present during the span of our study, or the variability itself may be what drives the increased cardiovascular risk.  CONCLUSIONS:[FACTOR]p characteristics of patients with bipolar disorder in clinical remission are associated with[OUTCOME]r risk.  More specifically, sleep duration was associated with low HDL.",65
"22596065 11 T25_T6","22596065",11,2021,2291,"Central line-associated bloodstream infection rates in lower middle-income countries were higher than low-income countries or upper middle-income countries (12.2 vs. 5.5 central line-associated bloodstream infections per 1,000 catheter-days [p < .02 vs. 7.0; p < .001]). ","positive_statistical_association","lower middle-income countries",2076,2104,"bloodstream infection",2045,2065,"train-set","INTERVENTIONS:",40,"MEASUREMENTS AND MAIN RESULTS: Central line-associated bloodstream infection rates were similar in private, public, or academic hospitals (7.3 vs. 8.4 central line-associated bloodstream infection per 1,000 catheter-days [p < .35 vs. 8.2; p < .42]).  Central line-associated bloodstream infection rates in lower middle-income countries were higher than low-income countries or upper middle-income countries (12.2 vs. 5.5 central line-associated bloodstream infections per 1,000 catheter-days [p < .02 vs. 7.0; p < .001]).  Catheter-associated urinary tract infection rates were similar in academic, public and private hospitals: (4.2 vs. 5.2 catheter-associated urinary tract infection per 1,000 catheter-days [p = .41 vs. 3.0; p = .195]). ","MEASUREMENTS AND MAIN RESULTS: Central line-associated bloodstream infection rates were similar in private, public, or academic hospitals (7.3 vs. 8.4 central line-associated bloodstream infection per 1,000 catheter-days [p < .35 vs. 8.2; p < .42]).  Central line-associated[OUTCOME]n rates in[FACTOR]s were higher than low-income countries or upper middle-income countries (12.2 vs. 5.5 central line-associated bloodstream infections per 1,000 catheter-days [p < .02 vs. 7.0; p < .001]).  Catheter-associated urinary tract infection rates were similar in academic, public and private hospitals: (4.2 vs. 5.2 catheter-associated urinary tract infection per 1,000 catheter-days [p = .41 vs. 3.0; p = .195]).",108
"22596065 13 T11_T12","22596065",13,2509,2773,"Catheter-associated urinary tract infection rates were higher in lower middle-income countries than low-income countries or upper middle-income countries (5.9 vs. 0.6 catheter-associated urinary tract infection per 1,000 catheter-days [p < .004 vs. 3.7; p < .01]). ","positive_statistical_association","lower middle-income countries",2574,2602,"urinary tract infection",2529,2551,"train-set","INTERVENTIONS:",40,"Catheter-associated urinary tract infection rates were similar in academic, public and private hospitals: (4.2 vs. 5.2 catheter-associated urinary tract infection per 1,000 catheter-days [p = .41 vs. 3.0; p = .195]).  Catheter-associated urinary tract infection rates were higher in lower middle-income countries than low-income countries or upper middle-income countries (5.9 vs. 0.6 catheter-associated urinary tract infection per 1,000 catheter-days [p < .004 vs. 3.7; p < .01]).  Ventilator-associated pneumonia rates in academic hospitals were higher than private or public hospitals: (8.3 vs. 3.5 ventilator-associated pneumonias per 1,000 ventilator-days [p < .001 vs. 4.7; p < .001]). ","Catheter-associated urinary tract infection rates were similar in academic, public and private hospitals: (4.2 vs. 5.2 catheter-associated urinary tract infection per 1,000 catheter-days [p = .41 vs. 3.0; p = .195]).  Catheter-associated[OUTCOME]n rates were higher in[FACTOR]s than low-income countries or upper middle-income countries (5.9 vs. 0.6 catheter-associated urinary tract infection per 1,000 catheter-days [p < .004 vs. 3.7; p < .01]).  Ventilator-associated pneumonia rates in academic hospitals were higher than private or public hospitals: (8.3 vs. 3.5 ventilator-associated pneumonias per 1,000 ventilator-days [p < .001 vs. 4.7; p < .001]).",102
"22596065 15 T18_T19","22596065",15,2983,3191,"Lower middle-income countries had higher ventilator-associated pneumonia rates than low-income countries or upper middle-income countries: (9.0 vs. 0.5 per 1,000 ventilator-days [p < .001 vs. 5.4; p < .001]). ","positive_statistical_association","Lower middle-income countries",2983,3011,"pneumonia",3046,3054,"train-set","INTERVENTIONS:",32,"Ventilator-associated pneumonia rates in academic hospitals were higher than private or public hospitals: (8.3 vs. 3.5 ventilator-associated pneumonias per 1,000 ventilator-days [p < .001 vs. 4.7; p < .001]).  Lower middle-income countries had higher ventilator-associated pneumonia rates than low-income countries or upper middle-income countries: (9.0 vs. 0.5 per 1,000 ventilator-days [p < .001 vs. 5.4; p < .001]).  Hand hygiene compliance rates were higher in public than academic or private hospitals (65.2% vs. 54.8% [p < .001 vs. 13.3%; p < .01]). ","Ventilator-associated pneumonia rates in academic hospitals were higher than private or public hospitals: (8.3 vs. 3.5 ventilator-associated pneumonias per 1,000 ventilator-days [p < .001 vs. 4.7; p < .001]). [FACTOR]s had higher ventilator-associated[OUTCOME]a rates than low-income countries or upper middle-income countries: (9.0 vs. 0.5 per 1,000 ventilator-days [p < .001 vs. 5.4; p < .001]).  Hand hygiene compliance rates were higher in public than academic or private hospitals (65.2% vs. 54.8% [p < .001 vs. 13.3%; p < .01]).",84
"22645325 10 T14_T15","22645325",10,1305,1484,"The most pronounced effect of night shift work on breast cancer risk was observed in women with morning chronotype preference and intense night shifts (OR=3.9, 95% CI 1.6 to 9.5). ","statistical_association","night shift",1335,1345,"breast cancer",1355,1367,"test-set","RESULTS:",31,"The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6).  The most pronounced effect of night shift work on breast cancer risk was observed in women with morning chronotype preference and intense night shifts (OR=3.9, 95% CI 1.6 to 9.5).  Night shift workers tended to sunbathe more frequently than day workers. ","The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6).  The most pronounced effect of[FACTOR]t work on[OUTCOME]r risk was observed in women with morning chronotype preference and intense night shifts (OR=3.9, 95% CI 1.6 to 9.5).  Night shift workers tended to sunbathe more frequently than day workers.",61
"22645325 10 T15_T16","22645325",10,1305,1484,"The most pronounced effect of night shift work on breast cancer risk was observed in women with morning chronotype preference and intense night shifts (OR=3.9, 95% CI 1.6 to 9.5). ","positive_statistical_association","night shifts",1443,1454,"breast cancer",1355,1367,"test-set","RESULTS:",31,"The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6).  The most pronounced effect of night shift work on breast cancer risk was observed in women with morning chronotype preference and intense night shifts (OR=3.9, 95% CI 1.6 to 9.5).  Night shift workers tended to sunbathe more frequently than day workers. ","The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6).  The most pronounced effect of night shift work on[OUTCOME]r risk was observed in women with morning chronotype preference and intense[FACTOR]s (OR=3.9, 95% CI 1.6 to 9.5).  Night shift workers tended to sunbathe more frequently than day workers.",61
"22645325 12 T17_T18","22645325",12,1558,1731,"CONCLUSIONS: The results indicate that frequent night shift work increases the risk for breast cancer and suggest a higher risk with longer duration of intense night shifts. ","positive_statistical_association","night shift",1606,1616,"breast cancer",1646,1658,"test-set","CONCLUSIONS:",27,"Night shift workers tended to sunbathe more frequently than day workers.  CONCLUSIONS: The results indicate that frequent night shift work increases the risk for breast cancer and suggest a higher risk with longer duration of intense night shifts.  Women with morning preference who worked on night shifts tended to have a higher risk than those with evening preference. ","Night shift workers tended to sunbathe more frequently than day workers.  CONCLUSIONS: The results indicate that frequent[FACTOR]t work increases the risk for[OUTCOME]r and suggest a higher risk with longer duration of intense night shifts.  Women with morning preference who worked on night shifts tended to have a higher risk than those with evening preference.",58
"22645325 12 T18_T19","22645325",12,1558,1731,"CONCLUSIONS: The results indicate that frequent night shift work increases the risk for breast cancer and suggest a higher risk with longer duration of intense night shifts. ","positive_statistical_association","night shifts",1718,1729,"breast cancer",1646,1658,"test-set","CONCLUSIONS:",27,"Night shift workers tended to sunbathe more frequently than day workers.  CONCLUSIONS: The results indicate that frequent night shift work increases the risk for breast cancer and suggest a higher risk with longer duration of intense night shifts.  Women with morning preference who worked on night shifts tended to have a higher risk than those with evening preference. ","Night shift workers tended to sunbathe more frequently than day workers.  CONCLUSIONS: The results indicate that frequent night shift work increases the risk for[OUTCOME]r and suggest a higher risk with longer duration of intense[FACTOR]s.  Women with morning preference who worked on night shifts tended to have a higher risk than those with evening preference.",58
"22645325 2 T3_T4","22645325",2,107,212,"OBJECTIVES: Growing but limited evidence suggests that night shift work is associated with breast cancer. ","statistical_association","night shift",162,172,"breast cancer",198,210,"test-set","OBJECTIVES:",15," OBJECTIVES: Growing but limited evidence suggests that night shift work is associated with breast cancer.  The authors conducted a nationwide case-control study nested within a cohort of 18,551 female military employees born in 1929-1968 to investigate the risk for breast cancer after night shift work and to explore the role of leisure time sun exposure and diurnal preference. ","OBJECTIVES: Growing but limited evidence suggests that[FACTOR]t work is associated with[OUTCOME]r.  The authors conducted a nationwide case-control study nested within a cohort of 18,551 female military employees born in 1929-1968 to investigate the risk for breast cancer after night shift work and to explore the role of leisure time sun exposure and diurnal preference.",60
"22645325 3 T5_T6","22645325",3,213,485,"The authors conducted a nationwide case-control study nested within a cohort of 18,551 female military employees born in 1929-1968 to investigate the risk for breast cancer after night shift work and to explore the role of leisure time sun exposure and diurnal preference. ","no_relation","night shift",392,402,"breast cancer",372,384,"test-set","OBJECTIVES:",45,"OBJECTIVES: Growing but limited evidence suggests that night shift work is associated with breast cancer.  The authors conducted a nationwide case-control study nested within a cohort of 18,551 female military employees born in 1929-1968 to investigate the risk for breast cancer after night shift work and to explore the role of leisure time sun exposure and diurnal preference.  METHODS: The authors documented 218 cases of breast cancer (1990-2003) and selected 899 age-matched controls from the cohort by incidence density sampling. ","OBJECTIVES: Growing but limited evidence suggests that night shift work is associated with breast cancer.  The authors conducted a nationwide case-control study nested within a cohort of 18,551 female military employees born in 1929-1968 to investigate the risk for[OUTCOME]r after[FACTOR]t work and to explore the role of leisure time sun exposure and diurnal preference.  METHODS: The authors documented 218 cases of breast cancer (1990-2003) and selected 899 age-matched controls from the cohort by incidence density sampling.",84
"22645325 8 T11_T12","22645325",8,992,1206,"The RR for breast cancer tended to increase with increasing number of years of night shift work (p=0.03) and with cumulative number of shifts (p=0.02),with a neutral risk for fewer than three night shifts per week. ","positive_statistical_association","night shift",1071,1081,"breast cancer",1003,1015,"test-set","RESULTS:",39,"RESULTS: Overall, the authors observed an adjusted OR of 1.4 (95% CI 0.9 to 2.1) among women with ever compared with never night shifts.  The RR for breast cancer tended to increase with increasing number of years of night shift work (p=0.03) and with cumulative number of shifts (p=0.02),with a neutral risk for fewer than three night shifts per week.  The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6). ","RESULTS: Overall, the authors observed an adjusted OR of 1.4 (95% CI 0.9 to 2.1) among women with ever compared with never night shifts.  The RR for[OUTCOME]r tended to increase with increasing number of years of[FACTOR]t work (p=0.03) and with cumulative number of shifts (p=0.02),with a neutral risk for fewer than three night shifts per week.  The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6).",82
"22645325 8 T11_T13","22645325",8,992,1206,"The RR for breast cancer tended to increase with increasing number of years of night shift work (p=0.03) and with cumulative number of shifts (p=0.02),with a neutral risk for fewer than three night shifts per week. ","no_statistical_association","fewer than three night shifts per week",1167,1204,"breast cancer",1003,1015,"test-set","RESULTS:",39,"RESULTS: Overall, the authors observed an adjusted OR of 1.4 (95% CI 0.9 to 2.1) among women with ever compared with never night shifts.  The RR for breast cancer tended to increase with increasing number of years of night shift work (p=0.03) and with cumulative number of shifts (p=0.02),with a neutral risk for fewer than three night shifts per week.  The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6). ","RESULTS: Overall, the authors observed an adjusted OR of 1.4 (95% CI 0.9 to 2.1) among women with ever compared with never night shifts.  The RR for[OUTCOME]r tended to increase with increasing number of years of night shift work (p=0.03) and with cumulative number of shifts (p=0.02),with a neutral risk for[FACTOR]k.  The OR for the group with the highest tertile of cumulative exposure was 2.3 (95% CI 1.2 to 4.6).",82
"22729623 2 T23_T3","22729623",2,148,413,"OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia. ","statistical_association","benzene",269,275,"acute",374,378,"train-set","OBJECTIVE:",36," OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia.  Here, we extend these analyses to chronic myeloid leukemia (CML). ","OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on[FACTOR]e supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and[OUTCOME]e and chronic lymphocytic leukemia.  Here, we extend these analyses to chronic myeloid leukemia (CML).",46
"22729623 2 T3_T4","22729623",2,148,413,"OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia. ","statistical_association","benzene",269,275,"lymphoma",319,326,"train-set","OBJECTIVE:",36," OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia.  Here, we extend these analyses to chronic myeloid leukemia (CML). ","OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on[FACTOR]e supports a possible association with some[OUTCOME]a subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia.  Here, we extend these analyses to chronic myeloid leukemia (CML).",46
"22729623 2 T3_T5","22729623",2,148,413,"OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia. ","statistical_association","benzene",269,275,"multiple myeloma",352,367,"train-set","OBJECTIVE:",36," OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia.  Here, we extend these analyses to chronic myeloid leukemia (CML). ","OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on[FACTOR]e supports a possible association with some lymphoma subtypes, in particular[OUTCOME]a, and acute and chronic lymphocytic leukemia.  Here, we extend these analyses to chronic myeloid leukemia (CML).",46
"22729623 2 T3_T6","22729623",2,148,413,"OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia. ","statistical_association","benzene",269,275,"chronic lymphocytic leukemia",384,411,"train-set","OBJECTIVE:",36," OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on benzene supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and chronic lymphocytic leukemia.  Here, we extend these analyses to chronic myeloid leukemia (CML). ","OBJECTIVE: We documented previously that if study quality is accounted for, evidence from occupational cohort studies on[FACTOR]e supports a possible association with some lymphoma subtypes, in particular multiple myeloma, and acute and[OUTCOME]a.  Here, we extend these analyses to chronic myeloid leukemia (CML).",46
