"pair_key","doc_id","sentence_id","start","end","text","relation_type","LSF_entity","LSF_entity_start","LSF_entity_end","disease_entity","disease_entity_start","disease_entity_end","Data_Set","section","word_count","context_text","masked_context_text","context_word_count"
"1916502 5 T10_T20","1916502",5,564,817,"After adjusting for age, sex, smoking, and social class, physically active work was still associated with duodenal ulcer, with relative risks for moderate and high activity compared with sedentary work being 1.3 (0.6-3.0) and 3.6 (1.3-7.8) respectively. ","positive_statistical_association","physically active work",621,642,"duodenal ulcer",670,683,"train-set","",39,"After adjusting for age, sex, smoking, and social class, physically active work was still associated with duodenal ulcer, with relative risks for moderate and high activity compared with sedentary work being 1.3 (0.6-3.0) and 3.6 (1.3-7.8) respectively. ","After adjusting for age, sex, smoking, and social class, [FACTOR] was still associated with [OUTCOME], with relative risks for moderate and high activity compared with sedentary work being 1.3 (0.6-3.0) and 3.6 (1.3-7.8) respectively.",39
"1916502 6 T13_T14","1916502",6,818,1002,"Within each social class stratum, the relative risk of having a duodenal ulcer was greater in those with a high level of occupational activity than in those undertaking sedentary work. ","positive_statistical_association","occupational activity",939,959,"duodenal ulcer",882,895,"train-set","",30,"Within each social class stratum, the relative risk of having a duodenal ulcer was greater in those with a high level of occupational activity than in those undertaking sedentary work. ","Within each social class stratum, the relative risk of having a [OUTCOME] was greater in those with a high level of [FACTOR] than in those undertaking sedentary work.",30
"19187325 14 T19_T25","19187325",14,1965,2065,"The exact mechanisms by which siblings and infections protect against allergic rhinitis are unclear. ","prevents","siblings",1995,2002,"allergic rhinitis",2035,2051,"test-set","CONCLUSIONS:",14,"The exact mechanisms by which siblings and infections protect against allergic rhinitis are unclear. ","The exact mechanisms by which [FACTOR] and infections protect against [OUTCOME] are unclear.",14
"19187325 7 T24_T8","19187325",7,734,956,"Using multi-nomial logistic regression, exposure to siblings, infections, tonsillectomy and farm residence during childhood were examined as risk factors for allergic rhinitis that developed before or after 7 years of age. ","no_relation","farm",826,829,"allergic rhinitis",892,908,"dev-set","METHODS:",32,"Using multi-nomial logistic regression, exposure to siblings, infections, tonsillectomy and farm residence during childhood were examined as risk factors for allergic rhinitis that developed before or after 7 years of age. ","Using multi-nomial logistic regression, exposure to siblings, infections, tonsillectomy and [FACTOR] residence during childhood were examined as risk factors for [OUTCOME] that developed before or after 7 years of age.",32
"19187325 9 T11_T22","19187325",9,1145,1474,"RESULTS: Greater cumulative exposure to siblings before the age of 2 years was strongly inversely associated with early onset allergic rhinitis (<1 year sib exposure: OR=0.6, 95% CI 0.3-1.0; 1-3 years sib exposure: OR=0.6, 95% CI 0.4-0.9; >3 years sib exposure: OR=0.4, 95% CI 0.3-0.8) less so with later onset allergic rhinitis. ","negative_statistical_association","exposure to siblings before the age of 2 years",1173,1218,"allergic rhinitis",1271,1287,"test-set","RESULTS:",59,"RESULTS: Greater cumulative exposure to siblings before the age of 2 years was strongly inversely associated with early onset allergic rhinitis (<1 year sib exposure: OR=0.6, 95% CI 0.3-1.0; 1-3 years sib exposure: OR=0.6, 95% CI 0.4-0.9; >3 years sib exposure: OR=0.4, 95% CI 0.3-0.8) less so with later onset allergic rhinitis. ","RESULTS: Greater cumulative [FACTOR] was strongly inversely associated with early onset [OUTCOME] (<1 year sib exposure: OR=0.6, 95% CI 0.3-1.0; 1-3 years sib exposure: OR=0.6, 95% CI 0.4-0.9; >3 years sib exposure: OR=0.4, 95% CI 0.3-0.8) less so with later onset allergic rhinitis.",59
"19187325 9 T12_T22","19187325",9,1145,1474,"RESULTS: Greater cumulative exposure to siblings before the age of 2 years was strongly inversely associated with early onset allergic rhinitis (<1 year sib exposure: OR=0.6, 95% CI 0.3-1.0; 1-3 years sib exposure: OR=0.6, 95% CI 0.4-0.9; >3 years sib exposure: OR=0.4, 95% CI 0.3-0.8) less so with later onset allergic rhinitis. ","negative_statistical_association","exposure to siblings before the age of 2 years",1173,1218,"allergic rhinitis",1456,1472,"test-set","RESULTS:",59,"RESULTS: Greater cumulative exposure to siblings before the age of 2 years was strongly inversely associated with early onset allergic rhinitis (<1 year sib exposure: OR=0.6, 95% CI 0.3-1.0; 1-3 years sib exposure: OR=0.6, 95% CI 0.4-0.9; >3 years sib exposure: OR=0.4, 95% CI 0.3-0.8) less so with later onset allergic rhinitis. ","RESULTS: Greater cumulative [FACTOR] was strongly inversely associated with early onset allergic rhinitis (<1 year sib exposure: OR=0.6, 95% CI 0.3-1.0; 1-3 years sib exposure: OR=0.6, 95% CI 0.4-0.9; >3 years sib exposure: OR=0.4, 95% CI 0.3-0.8) less so with later onset [OUTCOME].",59
"19219612 1 T1_T2","19219612",1,1,87,"Impact of marital status in patients undergoing radical cystectomy for bladder cancer. ","no_relation","marital status",11,24,"bladder cancer",72,85,"train-set","title",12,"Impact of marital status in patients undergoing radical cystectomy for bladder cancer. ","Impact of [FACTOR] in patients undergoing radical cystectomy for [OUTCOME].",12
"19219612 13 T18_T34","19219612",13,1906,2189,"These findings may support the evidence (observed in other tumor types and other disease states) that married persons present earlier than unmarried individuals, and this may help explain the improved survival outcomes that have been observed in married patients with bladder cancer. ","controls","married",2152,2158,"bladder cancer",2174,2187,"test-set","CONCLUSIONS:",42,"These findings may support the evidence (observed in other tumor types and other disease states) that married persons present earlier than unmarried individuals, and this may help explain the improved survival outcomes that have been observed in married patients with bladder cancer. ","These findings may support the evidence (observed in other tumor types and other disease states) that married persons present earlier than unmarried individuals, and this may help explain the improved survival outcomes that have been observed in [FACTOR] patients with [OUTCOME].",42
"19219612 2 T13_T23","19219612",2,89,300,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","negative_statistical_association","Married",98,104,"head/neck",272,280,"test-set","PURPOSE:",30,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","PURPOSE: [FACTOR] (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, [OUTCOME], and lung cancers.",30
"19219612 2 T22_T23","19219612",2,89,300,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","negative_statistical_association","Married",98,104,"prostate",254,261,"test-set","PURPOSE:",30,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","PURPOSE: [FACTOR] (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including [OUTCOME], breast, head/neck, and lung cancers.",30
"19219612 2 T23_T4","19219612",2,89,300,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","negative_statistical_association","Married",98,104,"lung cancers",287,298,"test-set","PURPOSE:",30,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","PURPOSE: [FACTOR] (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and [OUTCOME].",30
"19219612 2 T28_T3","19219612",2,89,300,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","no_relation","unmarried",111,119,"breast",264,269,"test-set","PURPOSE:",30,"PURPOSE: Married (vs. unmarried) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, breast, head/neck, and lung cancers. ","PURPOSE: Married (vs. [FACTOR]) individuals have improved health status and longer life expectancies in a variety of benign and malignant disease states, including prostate, [OUTCOME], head/neck, and lung cancers.",30
"19248688 13 T2_T5","19248688",13,1310,1475,"Based on occupation, housewives (43.0%), blue collar workers (19.0%), salespersons (12.0%) and factory workers (9.5%) were among those afflicted with varicose veins. ","no_relation","occupation",1319,1328,"varicose veins",1460,1473,"dev-set","",22,"Based on occupation, housewives (43.0%), blue collar workers (19.0%), salespersons (12.0%) and factory workers (9.5%) were among those afflicted with varicose veins. ","Based on [FACTOR], housewives (43.0%), blue collar workers (19.0%), salespersons (12.0%) and factory workers (9.5%) were among those afflicted with [OUTCOME].",22
"19248688 13 T3_T5","19248688",13,1310,1475,"Based on occupation, housewives (43.0%), blue collar workers (19.0%), salespersons (12.0%) and factory workers (9.5%) were among those afflicted with varicose veins. ","no_relation","blue collar workers",1351,1369,"varicose veins",1460,1473,"train-set","",22,"Based on occupation, housewives (43.0%), blue collar workers (19.0%), salespersons (12.0%) and factory workers (9.5%) were among those afflicted with varicose veins. ","Based on occupation, housewives (43.0%), [FACTOR] (19.0%), salespersons (12.0%) and factory workers (9.5%) were among those afflicted with [OUTCOME].",22
"19254518 12 T16_T25","19254518",12,1558,1699,"CONCLUSIONS: In a large national sample, nicotine dependence influences the associations between gambling and multiple psychiatric disorders. ","statistical_association","gambling",1655,1662,"psychiatric disorders",1677,1697,"train-set","CONCLUSIONS:",17,"CONCLUSIONS: In a large national sample, nicotine dependence influences the associations between gambling and multiple psychiatric disorders. ","CONCLUSIONS: In a large national sample, nicotine dependence influences the associations between [FACTOR] and multiple [OUTCOME].",17
"19254518 14 T18_T19","19254518",14,1781,1934,"Nicotine dependence accounts for some of the elevated risks for psychopathology associated with subsyndromal and problem/pathological levels of gambling. ","no_relation","gambling",1925,1932,"Nicotine dependence",1781,1799,"train-set","CONCLUSIONS:",20,"Nicotine dependence accounts for some of the elevated risks for psychopathology associated with subsyndromal and problem/pathological levels of gambling. ","[OUTCOME] accounts for some of the elevated risks for psychopathology associated with subsyndromal and problem/pathological levels of [FACTOR].",20
"19254518 8 T12_T27","19254518",8,1076,1244,"RESULTS: Among non-nicotine-dependent respondents, increasing gambling severity was associated with greater psychopathology for the majority of Axis I and II disorders. ","positive_statistical_association","gambling",1138,1145,"Axis I and II disorders",1220,1242,"train-set","RESULTS:",23,"RESULTS: Among non-nicotine-dependent respondents, increasing gambling severity was associated with greater psychopathology for the majority of Axis I and II disorders. ","RESULTS: Among non-nicotine-dependent respondents, increasing [FACTOR] severity was associated with greater psychopathology for the majority of [OUTCOME].",23
"19415507 1 T2_T26","19415507",1,1,128,"Intake of folate, vitamins B6, B12 and methionine and risk of pancreatic cancer in a large population-based case-control study. ","no_relation","methionine",40,49,"pancreatic cancer",63,79,"train-set","title",21,"Intake of folate, vitamins B6, B12 and methionine and risk of pancreatic cancer in a large population-based case-control study. ","Intake of folate, vitamins B6, B12 and [FACTOR] and risk of [OUTCOME] in a large population-based case-control study.",21
"19415507 10 T13_T14","19415507",10,1353,1474,"CONCLUSIONS: Our study provided some support for an inverse association between folate intake and pancreatic cancer risk. ","negative_statistical_association","folate",1433,1438,"pancreatic cancer",1451,1467,"train-set","CONCLUSIONS:",17,"CONCLUSIONS: Our study provided some support for an inverse association between folate intake and pancreatic cancer risk. ","CONCLUSIONS: Our study provided some support for an inverse association between [FACTOR] intake and [OUTCOME] risk.",17
"19415507 11 T15_T16","19415507",11,1475,1579,"The increased pancreatic cancer risk with vitamin B(12) intake from food warrants further investigation. ","positive_statistical_association","vitamin B(12)",1517,1529,"pancreatic cancer",1489,1505,"train-set","CONCLUSIONS:",15,"The increased pancreatic cancer risk with vitamin B(12) intake from food warrants further investigation. ","The increased [OUTCOME] risk with [FACTOR] intake from food warrants further investigation.",15
"19415507 3 T27_T4","19415507",3,270,429,"We examined the association between pancreatic cancer and intake of folate, vitamins B(6), B(12) and methionine in a large population-based case-control study. ","no_relation","methionine",371,380,"pancreatic cancer",306,322,"train-set","OBJECTIVE:",26,"We examined the association between pancreatic cancer and intake of folate, vitamins B(6), B(12) and methionine in a large population-based case-control study. ","We examined the association between [OUTCOME] and intake of folate, vitamins B(6), B(12) and [FACTOR] in a large population-based case-control study.",26
"19415507 7 T7_T8","19415507",7,909,1058,"RESULTS: Total folate intake was inversely associated with pancreatic cancer (5th vs. 1st quintile: OR = 0.67, 95% CI = 0.48-0.93, p (trend) = 0.04). ","negative_statistical_association","folate",924,929,"pancreatic cancer",968,984,"train-set","RESULTS:",23,"RESULTS: Total folate intake was inversely associated with pancreatic cancer (5th vs. 1st quintile: OR = 0.67, 95% CI = 0.48-0.93, p (trend) = 0.04). ","RESULTS: Total [FACTOR] intake was inversely associated with [OUTCOME] (5th vs. 1st quintile: OR = 0.67, 95% CI = 0.48-0.93, p (trend) = 0.04).",23
"19415507 8 T10_T9","19415507",8,1059,1267,"Increased vitamin B(12) from food was positively associated with pancreatic cancer although risk estimates for quintiles 3-5 were similar (5th vs. 1st quintile: OR = 1.9, 95% CI = 1.3-2.6, p (trend) = 0.001). ","positive_statistical_association","vitamin B(12) from food",1069,1091,"pancreatic cancer",1124,1140,"train-set","RESULTS:",34,"Increased vitamin B(12) from food was positively associated with pancreatic cancer although risk estimates for quintiles 3-5 were similar (5th vs. 1st quintile: OR = 1.9, 95% CI = 1.3-2.6, p (trend) = 0.001). ","Increased [FACTOR] was positively associated with [OUTCOME] although risk estimates for quintiles 3-5 were similar (5th vs. 1st quintile: OR = 1.9, 95% CI = 1.3-2.6, p (trend) = 0.001).",34
"19415507 9 T11_T12","19415507",9,1268,1352,"Intake of vitamin B(6) or methionine was not associated with pancreatic cancer risk. ","no_statistical_association","vitamin B(6)",1278,1289,"pancreatic cancer",1329,1345,"train-set","RESULTS:",14,"Intake of vitamin B(6) or methionine was not associated with pancreatic cancer risk. ","Intake of [FACTOR] or methionine was not associated with [OUTCOME] risk.",14
"19415507 9 T12_T25","19415507",9,1268,1352,"Intake of vitamin B(6) or methionine was not associated with pancreatic cancer risk. ","no_statistical_association","methionine",1294,1303,"pancreatic cancer",1329,1345,"train-set","RESULTS:",14,"Intake of vitamin B(6) or methionine was not associated with pancreatic cancer risk. ","Intake of vitamin B(6) or [FACTOR] was not associated with [OUTCOME] risk.",14
"19489195 10 T13_T16","19489195",10,1492,1615,"Age, parental smoking habits and being a swimming team member had no association with any of the asthma variables examined. ","no_statistical_association","parental smoking",1497,1512,"asthma",1589,1594,"train-set","METHODS:",20,"Age, parental smoking habits and being a swimming team member had no association with any of the asthma variables examined. ","Age, [FACTOR] habits and being a swimming team member had no association with any of the [OUTCOME] variables examined.",20
"19489195 10 T13_T25","19489195",10,1492,1615,"Age, parental smoking habits and being a swimming team member had no association with any of the asthma variables examined. ","no_statistical_association","swimming",1533,1540,"asthma",1589,1594,"train-set","METHODS:",20,"Age, parental smoking habits and being a swimming team member had no association with any of the asthma variables examined. ","Age, parental smoking habits and being a [FACTOR] team member had no association with any of the [OUTCOME] variables examined.",20
"19489195 11 T15_T18","19489195",11,1616,1680,"Swimming pool attendance may be a risk factor in asthma in boys. ","positive_statistical_association","Swimming pool",1616,1628,"asthma",1665,1670,"train-set","METHODS:",12,"Swimming pool attendance may be a risk factor in asthma in boys. ","[FACTOR] attendance may be a risk factor in [OUTCOME] in boys.",12
"19489195 8 T11_T21","19489195",8,1066,1316,"There was a significant association between number of years a boy had been swimming and the likelihood of wheezing in the last 12 months (p = 0.009; OR = 1.351; 95% CI = 1.077-1.693) and diagnosed asthma (p = 0.046; OR = 1.299; 95% CI = 1.004-1.506). ","positive_statistical_association","swimming",1141,1148,"asthma",1263,1268,"train-set","METHODS:",43,"There was a significant association between number of years a boy had been swimming and the likelihood of wheezing in the last 12 months (p = 0.009; OR = 1.351; 95% CI = 1.077-1.693) and diagnosed asthma (p = 0.046; OR = 1.299; 95% CI = 1.004-1.506). ","There was a significant association between number of years a boy had been [FACTOR] and the likelihood of wheezing in the last 12 months (p = 0.009; OR = 1.351; 95% CI = 1.077-1.693) and diagnosed [OUTCOME] (p = 0.046; OR = 1.299; 95% CI = 1.004-1.506).",43
"19489195 9 T12_T19","19489195",9,1317,1491,"The greater the number the number of years a boy had been attending an indoor, chlorinated pool, the greater the likelihood of wheezing in the last 12 months or """"had asthma"""". ","positive_statistical_association","chlorinated pool",1396,1411,"asthma",1483,1488,"train-set","METHODS:",31,"The greater the number the number of years a boy had been attending an indoor, chlorinated pool, the greater the likelihood of wheezing in the last 12 months or """"had asthma"""". ","The greater the number the number of years a boy had been attending an indoor, [FACTOR], the greater the likelihood of wheezing in the last 12 months or """"had[OUTCOME]a"""".",31
"19605567 10 T16_T17","19605567",10,1447,1602,"Consumption of 75 g sucrose, equivalent to 2 cans of a soft drink, did not further augment the prevalence of hyperglycemia throughout the day in any group. ","no_statistical_association","sucrose",1467,1473,"hyperglycemia",1556,1568,"train-set","RESULTS:",27,"Consumption of 75 g sucrose, equivalent to 2 cans of a soft drink, did not further augment the prevalence of hyperglycemia throughout the day in any group. ","Consumption of 75 g [FACTOR], equivalent to 2 cans of a soft drink, did not further augment the prevalence of [OUTCOME] throughout the day in any group.",27
"19605567 10 T17_T33","19605567",10,1447,1602,"Consumption of 75 g sucrose, equivalent to 2 cans of a soft drink, did not further augment the prevalence of hyperglycemia throughout the day in any group. ","no_statistical_association","soft drink",1502,1511,"hyperglycemia",1556,1568,"train-set","RESULTS:",27,"Consumption of 75 g sucrose, equivalent to 2 cans of a soft drink, did not further augment the prevalence of hyperglycemia throughout the day in any group. ","Consumption of 75 g sucrose, equivalent to 2 cans of a [FACTOR], did not further augment the prevalence of [OUTCOME] throughout the day in any group.",27
"19605567 12 T21_T25","19605567",12,1740,1916,"Moderate consumption of sucrose-sweetened beverages does not further increase the prevalence of hyperglycemia in type 2 diabetic subjects or in normoglycemic lean or obese men. ","no_statistical_association","sucrose-sweetened beverages",1764,1790,"hyperglycemia",1836,1848,"train-set","CONCLUSIONS:",26,"Moderate consumption of sucrose-sweetened beverages does not further increase the prevalence of hyperglycemia in type 2 diabetic subjects or in normoglycemic lean or obese men. ","Moderate consumption of [FACTOR] does not further increase the prevalence of [OUTCOME] in type 2 diabetic subjects or in normoglycemic lean or obese men.",26
"20056585 10 T10_T11","20056585",10,1294,1558,"Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with childhood leukemia, but there was no association with herbicides. ","positive_statistical_association","insecticides",1403,1414,"childhood leukemia",1493,1510,"train-set","OBJECTIVE:",39,"Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with childhood leukemia, but there was no association with herbicides. ","Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and [FACTOR] (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with [OUTCOME], but there was no association with herbicides.",39
"20056585 10 T11_T12","20056585",10,1294,1558,"Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with childhood leukemia, but there was no association with herbicides. ","no_statistical_association","herbicides",1547,1556,"childhood leukemia",1493,1510,"train-set","OBJECTIVE:",39,"Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with childhood leukemia, but there was no association with herbicides. ","Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with [OUTCOME], but there was no association with [FACTOR].",39
"20056585 10 T11_T9","20056585",10,1294,1558,"Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with childhood leukemia, but there was no association with herbicides. ","positive_statistical_association","pesticides",1348,1357,"childhood leukemia",1493,1510,"train-set","OBJECTIVE:",39,"Exposures during childhood to unspecified residential pesticides (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with childhood leukemia, but there was no association with herbicides. ","Exposures during childhood to unspecified residential [FACTOR] (OR = 1.38; 95% CI, 1.12-1.70; I2 = 4%) and insecticides (OR = 1.61; 95% CI, 1.33-1.95; I2 = 0%) were also positively associated with [OUTCOME], but there was no association with herbicides.",39
"20056585 11 T13_T17","20056585",11,1559,1671,"CONCLUSIONS: Positive associations were observed between childhood leukemia and residential pesticide exposures. ","positive_statistical_association","pesticide exposures",1651,1669,"childhood leukemia",1616,1633,"train-set","CONCLUSIONS:",12,"CONCLUSIONS: Positive associations were observed between childhood leukemia and residential pesticide exposures. ","CONCLUSIONS: Positive associations were observed between [OUTCOME] and residential [FACTOR].",12
"20056585 9 T5_T8","20056585",9,1018,1293,"Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with childhood leukemia. ","positive_statistical_association","pesticides",1072,1081,"childhood leukemia",1274,1291,"train-set","OBJECTIVE:",41,"Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with childhood leukemia. ","Exposures during pregnancy to unspecified residential [FACTOR] (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with [OUTCOME].",41
"20056585 9 T6_T8","20056585",9,1018,1293,"Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with childhood leukemia. ","positive_statistical_association","insecticides",1133,1144,"childhood leukemia",1274,1291,"train-set","OBJECTIVE:",41,"Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with childhood leukemia. ","Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), [FACTOR] (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with [OUTCOME].",41
"20056585 9 T7_T8","20056585",9,1018,1293,"Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with childhood leukemia. ","positive_statistical_association","herbicides",1191,1200,"childhood leukemia",1274,1291,"train-set","OBJECTIVE:",41,"Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and herbicides (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with childhood leukemia. ","Exposures during pregnancy to unspecified residential pesticides (summary OR = 1.54; 95% CI, 1.13-2.11; I2 = 66%), insecticides (OR = 2.05; 95% CI, 1.80-2.32; I2 = 0%), and [FACTOR] (OR = 1.61; 95% CI, 1.20-2.16; I2 = 0%) were positively associated with [OUTCOME].",41
"20074393 10 T15_T18","20074393",10,1381,1661,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","positive_statistical_association","watching television",1526,1544,"obesity",1653,1659,"test-set","CONCLUSIONS:",38,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, [FACTOR], sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood [OUTCOME].",38
"20074393 10 T16_T18","20074393",10,1381,1661,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","positive_statistical_association","sedentary lifestyle",1547,1565,"obesity",1653,1659,"test-set","CONCLUSIONS:",38,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, [FACTOR] and consumption of sugar-sweetened beverages are important risk factors for childhood [OUTCOME].",38
"20074393 10 T17_T18","20074393",10,1381,1661,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","positive_statistical_association","sugar-sweetened beverages",1586,1610,"obesity",1653,1659,"test-set","CONCLUSIONS:",38,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of [FACTOR] are important risk factors for childhood [OUTCOME].",38
"20074393 10 T18_T20","20074393",10,1381,1661,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","negative_statistical_association","breast-feeding",1469,1482,"obesity",1653,1659,"test-set","CONCLUSIONS:",38,"CONCLUSIONS: The current findings support the literature according to which duration of breast-feeding (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood obesity. ","CONCLUSIONS: The current findings support the literature according to which duration of [FACTOR] (<3 months), a family history of obesity, watching television, sedentary lifestyle and consumption of sugar-sweetened beverages are important risk factors for childhood [OUTCOME].",38
"20074393 3 T24_T3","20074393",3,146,368,"The purpose of the current study was to identify risk factors such as birth weight, breast-feeding, dietary patterns, family history of obesity and sedentary behaviours that are possibly associated with paediatric obesity. ","no_relation","dietary patterns",246,261,"obesity",282,288,"train-set","OBJECTIVE:",33,"The purpose of the current study was to identify risk factors such as birth weight, breast-feeding, dietary patterns, family history of obesity and sedentary behaviours that are possibly associated with paediatric obesity. ","The purpose of the current study was to identify risk factors such as birth weight, breast-feeding, [FACTOR], family history of [OUTCOME] and sedentary behaviours that are possibly associated with paediatric obesity.",33
